"filename", "language", "C++", "CMake", "JSON", "Dart", "YAML", "HTML", "Markdown", "XML", "Swift", "Groovy", "Properties", "comment", "blank", "total"
"d:\flutter-clean-architecture-instagram\lib\data\datasourses\remote\user\firestore_user_info.dart", "Dart", 0, 0, 0, 198, 0, 0, 0, 0, 0, 0, 0, 1, 27, 226
"d:\flutter-clean-architecture-instagram\lib\data\datasourses\remote\user\message.dart", "Dart", 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 10, 73
"d:\flutter-clean-architecture-instagram\lib\data\models\comment.dart", "Dart", 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 6, 75
"d:\flutter-clean-architecture-instagram\lib\data\models\message.dart", "Dart", 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 1, 6, 94
"d:\flutter-clean-architecture-instagram\lib\data\models\notification.dart", "Dart", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 1, 4, 59
"d:\flutter-clean-architecture-instagram\lib\data\models\parent_post.dart", "Dart", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"d:\flutter-clean-architecture-instagram\lib\data\models\post.dart", "Dart", 0, 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 4, 67
"d:\flutter-clean-architecture-instagram\lib\data\models\sender_info.dart", "Dart", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 3, 14
"d:\flutter-clean-architecture-instagram\lib\data\models\specific_users_info.dart", "Dart", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"d:\flutter-clean-architecture-instagram\lib\data\models\story.dart", "Dart", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 4, 56
"d:\flutter-clean-architecture-instagram\lib\data\models\user_personal_info.dart", "Dart", 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 1, 6, 80
"d:\flutter-clean-architecture-instagram\lib\data\repositories_impl\firebase_auth_repository_impl.dart", "Dart", 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 4, 42
"d:\flutter-clean-architecture-instagram\lib\data\repositories_impl\firestore_notification.dart", "Dart", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 4, 37
"d:\flutter-clean-architecture-instagram\lib\data\repositories_impl\firestore_story_repo_impl.dart", "Dart", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 5, 59
"d:\flutter-clean-architecture-instagram\lib\data\repositories_impl\firestore_user_repo_impl.dart", "Dart", 0, 0, 0, 199, 0, 0, 0, 0, 0, 0, 0, 1, 20, 220
"d:\flutter-clean-architecture-instagram\lib\data\repositories_impl\post\comment\firestore_comment_repo_impl.dart", "Dart", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 8, 60
